Date,Open,Close
5/7/2006,$353,$359
5/14/2006,$348,$353
5/21/2006,$347,$348
5/28/2006,$350,$347
6/4/2006,$343,$350
6/11/2006,$341,$343
6/18/2006,$344,$341
6/25/2006,$349,$344
7/2/2006,$356,$349
7/9/2006,$359,$356
7/16/2006,$361,$359
7/23/2006,$368,$361
7/30/2006,$376,$368
8/6/2006,$381,$376
8/13/2006,$381,$381
8/20/2006,$377,$381
8/27/2006,$366,$377
9/3/2006,$359,$366
9/10/2006,$355,$359
9/17/2006,$356,$355
9/24/2006,$349,$356
10/1/2006,$333,$349
10/8/2006,$324,$333
10/15/2006,$305,$324
10/22/2006,$280,$305
10/29/2006,$278,$280
11/5/2006,$292,$278
11/12/2006,$308,$292
11/19/2006,$308,$308
11/26/2006,$297,$308
12/3/2006,$281,$297
12/10/2006,$270,$281
12/17/2006,$279,$270
12/24/2006,$282,$279
12/31/2006,$276,$282
1/7/2007,$277,$276
1/14/2007,$293,$277
1/21/2007,$304,$293
1/28/2007,$312,$304
2/4/2007,$313,$312
2/11/2007,$312,$313
2/18/2007,$314,$312
2/25/2007,$322,$314
3/4/2007,$328,$322
3/11/2007,$338,$328
3/18/2007,$346,$338
3/25/2007,$345,$346
4/1/2007,$341,$345
4/8/2007,$341,$341
4/15/2007,$329,$341
4/22/2007,$308,$329
4/29/2007,$295,$308
5/6/2007,$326,$295
5/13/2007,$320,$326
5/20/2007,$317,$320
5/27/2007,$330,$317
6/3/2007,$323,$330
6/10/2007,$326,$323
6/17/2007,$335,$326
6/24/2007,$334,$335
7/1/2007,$334,$334
7/8/2007,$337,$334
7/15/2007,$338,$337
7/22/2007,$341,$338
7/29/2007,$341,$341
8/5/2007,$339,$341
8/12/2007,$336,$339
8/19/2007,$327,$336
8/26/2007,$332,$327
9/2/2007,$340,$332
9/9/2007,$334,$340
9/16/2007,$326,$334
9/23/2007,$310,$326
9/30/2007,$297,$310
10/7/2007,$290,$297
10/14/2007,$271,$290
10/21/2007,$267,$271
10/28/2007,$276,$267
11/4/2007,$284,$276
11/11/2007,$293,$284
11/18/2007,$295,$293
11/25/2007,$292,$295
12/2/2007,$297,$292
12/9/2007,$306,$297
12/16/2007,$311,$306
12/23/2007,$312,$311
12/30/2007,$311,$312
1/6/2008,$301,$311
1/13/2008,$328,$301
1/20/2008,$332,$328
1/27/2008,$332,$332
2/3/2008,$331,$332
2/10/2008,$334,$331
2/17/2008,$341,$334
2/24/2008,$346,$341
3/2/2008,$341,$346
3/9/2008,$332,$341
3/16/2008,$320,$332
3/23/2008,$317,$320
3/30/2008,$327,$317
4/6/2008,$326,$327
4/13/2008,$322,$326
4/20/2008,$316,$322
4/27/2008,$314,$316
5/4/2008,$316,$314
5/11/2008,$314,$316
5/18/2008,$311,$314
5/25/2008,$312,$311
6/1/2008,$314,$312
6/8/2008,$320,$314
6/15/2008,$328,$320
6/22/2008,$329,$328
6/29/2008,$335,$329
7/6/2008,$340,$335
7/13/2008,$340,$340
7/20/2008,$340,$340
7/27/2008,$340,$340
8/3/2008,$345,$340
8/10/2008,$354,$345
8/17/2008,$351,$354
8/24/2008,$348,$351
8/31/2008,$345,$348
9/7/2008,$348,$345
9/14/2008,$351,$348
9/21/2008,$359,$351
9/28/2008,$362,$359
10/5/2008,$362,$362
10/12/2008,$359,$362
10/19/2008,$355,$359
10/26/2008,$344,$355
11/2/2008,$329,$344
11/9/2008,$326,$329
11/16/2008,$332,$326
11/23/2008,$329,$332
11/30/2008,$328,$329
12/7/2008,$330,$328
12/14/2008,$331,$330
12/21/2008,$334,$331
12/28/2008,$336,$334
1/11/2009,$336,$336
1/18/2009,$332,$336
1/25/2009,$321,$332
2/1/2009,$314,$321
2/8/2009,$304,$314
2/15/2009,$300,$304
2/22/2009,$306,$300
3/1/2009,$314,$306
3/8/2009,$314,$314
3/15/2009,$317,$314
3/22/2009,$320,$317
3/29/2009,$319,$320
4/5/2009,$315,$319
4/12/2009,$314,$315
4/19/2009,$319,$314
4/26/2009,$320,$319
5/3/2009,$317,$320
5/10/2009,$314,$317
5/17/2009,$308,$314
5/24/2009,$312,$308
5/31/2009,$321,$312
6/7/2009,$325,$321
6/14/2009,$327,$325
6/21/2009,$333,$327
6/28/2009,$335,$333
7/5/2009,$337,$335
7/12/2009,$337,$337
7/19/2009,$338,$337
7/26/2009,$342,$338
8/2/2009,$344,$342
8/9/2009,$345,$344
8/16/2009,$340,$345
8/23/2009,$326,$340
8/30/2009,$318,$326
9/6/2009,$320,$318
9/13/2009,$325,$320
9/20/2009,$322,$325
9/27/2009,$318,$322
10/4/2009,$318,$318
10/11/2009,$315,$318
10/18/2009,$311,$315
10/25/2009,$306,$311
11/1/2009,$304,$306
11/8/2009,$303,$304
11/15/2009,$305,$303
11/22/2009,$304,$305
11/29/2009,$298,$304
12/6/2009,$294,$298
12/13/2009,$285,$294
12/20/2009,$282,$285
12/27/2009,$288,$282
1/3/2010,$285,$288
1/10/2010,$304,$285
1/17/2010,$314,$304
1/24/2010,$323,$314
1/31/2010,$327,$323
2/7/2010,$325,$327
2/14/2010,$326,$325
2/21/2010,$335,$326
2/28/2010,$341,$335
3/7/2010,$344,$341
3/14/2010,$350,$344
3/21/2010,$354,$350
3/28/2010,$351,$354
4/4/2010,$346,$351
4/11/2010,$349,$346
4/18/2010,$350,$349
4/25/2010,$347,$350
5/2/2010,$348,$347
5/9/2010,$346,$348
5/16/2010,$347,$346
5/23/2010,$344,$347
5/30/2010,$343,$344
6/6/2010,$347,$343
6/13/2010,$348,$347
6/20/2010,$347,$348
6/27/2010,$349,$347
7/4/2010,$351,$349
7/11/2010,$349,$351
7/18/2010,$348,$349
7/25/2010,$353,$348
8/1/2010,$358,$353
8/8/2010,$364,$358
8/15/2010,$364,$364
8/22/2010,$365,$364
8/29/2010,$367,$365
9/5/2010,$365,$367
9/12/2010,$367,$365
9/19/2010,$371,$367
9/26/2010,$373,$371
10/3/2010,$375,$373
10/10/2010,$374,$375
10/17/2010,$369,$374
10/24/2010,$366,$369
10/31/2010,$364,$366
11/7/2010,$364,$364
11/14/2010,$368,$364
11/21/2010,$371,$368
11/28/2010,$376,$371
12/5/2010,$380,$376
12/12/2010,$386,$380
12/19/2010,$391,$386
12/26/2010,$391,$391
1/2/2011,$382,$391
1/9/2011,$409,$382
1/16/2011,$411,$409
1/23/2011,$411,$411
1/30/2011,$398,$411
2/6/2011,$390,$398
2/13/2011,$393,$390
2/20/2011,$394,$393
2/27/2011,$395,$394
3/6/2011,$400,$395
3/13/2011,$407,$400
3/20/2011,$410,$407
3/27/2011,$415,$410
4/3/2011,$421,$415
4/10/2011,$417,$421
4/17/2011,$413,$417
4/24/2011,$411,$413
5/1/2011,$415,$411
5/8/2011,$401,$415
5/15/2011,$390,$401
5/22/2011,$390,$390
5/29/2011,$393,$390
6/5/2011,$391,$393
6/12/2011,$386,$391
6/19/2011,$386,$386
6/26/2011,$377,$386
7/3/2011,$377,$377
7/10/2011,$377,$377
7/17/2011,$376,$377
7/24/2011,$378,$376
7/31/2011,$375,$378
8/7/2011,$377,$375
8/14/2011,$378,$377
8/21/2011,$380,$378
8/28/2011,$389,$380
9/4/2011,$396,$389
9/11/2011,$402,$396
9/18/2011,$404,$402
9/25/2011,$403,$404
10/2/2011,$398,$403
10/9/2011,$397,$398
10/16/2011,$399,$397
10/23/2011,$398,$399
10/30/2011,$401,$398
11/6/2011,$403,$401
11/13/2011,$405,$403
11/20/2011,$406,$405
11/27/2011,$403,$406
12/4/2011,$404,$403
12/11/2011,$410,$404
12/18/2011,$414,$410
12/25/2011,$421,$414
1/1/2012,$417,$421
1/8/2012,$429,$417
1/15/2012,$417,$429
1/22/2012,$409,$417
1/29/2012,$398,$409
2/5/2012,$396,$398
2/12/2012,$396,$396
2/19/2012,$393,$396
2/26/2012,$387,$393
3/4/2012,$387,$387
3/11/2012,$395,$387
3/18/2012,$395,$395
3/25/2012,$394,$395
4/1/2012,$395,$394
4/8/2012,$391,$395
4/15/2012,$388,$391
4/22/2012,$378,$388
4/29/2012,$367,$378
5/6/2012,$372,$367
5/13/2012,$374,$372
5/20/2012,$368,$374
5/27/2012,$366,$368
6/3/2012,$367,$366
6/10/2012,$369,$367
6/17/2012,$374,$369
6/24/2012,$374,$374
7/1/2012,$376,$374
7/8/2012,$378,$376
7/15/2012,$382,$378
7/22/2012,$382,$382
7/29/2012,$386,$382
8/5/2012,$388,$386
8/12/2012,$387,$388
8/19/2012,$384,$387
8/26/2012,$380,$384
9/2/2012,$378,$380
9/9/2012,$371,$378
9/16/2012,$364,$371
9/23/2012,$361,$364
9/30/2012,$362,$361
10/7/2012,$362,$362
10/14/2012,$354,$362
10/21/2012,$352,$354
10/28/2012,$350,$352
11/4/2012,$345,$350
11/11/2012,$346,$345
11/18/2012,$348,$346
11/25/2012,$343,$348
12/2/2012,$335,$343
12/9/2012,$333,$335
12/16/2012,$332,$333
12/23/2012,$330,$332
12/30/2012,$326,$330
1/6/2013,$321,$326
1/13/2013,$317,$321
1/20/2013,$314,$317
1/27/2013,$314,$314
2/3/2013,$324,$314
2/10/2013,$332,$324
2/17/2013,$330,$332
2/24/2013,$326,$330
3/3/2013,$333,$326
3/10/2013,$342,$333
3/17/2013,$339,$342
3/24/2013,$330,$339
3/31/2013,$325,$330
4/7/2013,$326,$325
4/14/2013,$321,$326
4/21/2013,$311,$321
4/28/2013,$305,$311
5/5/2013,$302,$305
5/12/2013,$290,$302
5/19/2013,$283,$290
5/26/2013,$289,$283
6/2/2013,$296,$289
6/9/2013,$301,$296
6/16/2013,$304,$301
6/23/2013,$312,$304
6/30/2013,$319,$312
7/7/2013,$324,$319
7/14/2013,$326,$324
7/21/2013,$319,$326
7/28/2013,$322,$319
8/4/2013,$326,$322
8/11/2013,$325,$326
8/18/2013,$324,$325
8/25/2013,$320,$324
9/1/2013,$317,$320
9/8/2013,$313,$317
9/15/2013,$304,$313
9/22/2013,$310,$304
9/29/2013,$313,$310
10/6/2013,$310,$313
10/13/2013,$309,$310
10/20/2013,$304,$309
10/27/2013,$294,$304
11/3/2013,$293,$294
11/10/2013,$299,$293
11/17/2013,$308,$299
11/24/2013,$314,$308
12/1/2013,$322,$314
12/8/2013,$323,$322
12/15/2013,$320,$323
12/22/2013,$323,$320
12/29/2013,$323,$323
1/12/2014,$300,$323
1/19/2014,$292,$300
1/26/2014,$285,$292
2/2/2014,$285,$285
2/9/2014,$289,$285
2/16/2014,$290,$289
2/23/2014,$296,$290
3/2/2014,$307,$296
3/9/2014,$313,$307
3/16/2014,$314,$313
3/23/2014,$303,$314
3/30/2014,$307,$303
4/6/2014,$337,$307
4/13/2014,$347,$337
4/20/2014,$349,$347
4/27/2014,$355,$349
5/4/2014,$357,$355
5/11/2014,$347,$357
5/18/2014,$331,$347
5/25/2014,$329,$331
6/1/2014,$329,$329
6/8/2014,$334,$329
6/15/2014,$332,$334
6/22/2014,$332,$332
6/29/2014,$334,$332
7/6/2014,$338,$334
7/13/2014,$338,$338
7/20/2014,$333,$338
7/27/2014,$336,$333
8/3/2014,$335,$336
8/10/2014,$334,$335
8/17/2014,$338,$334
8/24/2014,$348,$338
8/31/2014,$355,$348
9/7/2014,$360,$355
9/14/2014,$362,$360
9/21/2014,$362,$362
9/28/2014,$360,$362
10/5/2014,$364,$360
10/12/2014,$365,$364
10/19/2014,$363,$365
10/26/2014,$351,$363
11/2/2014,$342,$351
11/9/2014,$343,$342
11/16/2014,$341,$343
11/23/2014,$332,$341
11/30/2014,$335,$332
12/7/2014,$351,$335
12/14/2014,$363,$351
12/21/2014,$373,$363
12/28/2014,$385,$373
1/11/2015,$391,$385
1/18/2015,$433,$391
1/25/2015,$447,$433
2/1/2015,$451,$447
2/8/2015,$451,$451
2/15/2015,$451,$451
2/22/2015,$448,$451
3/1/2015,$439,$448
3/8/2015,$431,$439
3/15/2015,$427,$431
3/22/2015,$422,$427
3/29/2015,$421,$422
4/5/2015,$424,$421
4/12/2015,$430,$424
4/19/2015,$437,$430
4/26/2015,$441,$437
5/3/2015,$454,$441
5/10/2015,$467,$454
5/17/2015,$474,$467
5/24/2015,$483,$474
5/31/2015,$484,$483
6/7/2015,$480,$484
6/14/2015,$477,$480
6/21/2015,$491,$477
6/28/2015,$507,$491
7/5/2015,$525,$507
7/12/2015,$533,$525
7/19/2015,$537,$533
7/26/2015,$542,$537
8/2/2015,$550,$542
8/9/2015,$560,$550
8/16/2015,$565,$560
8/23/2015,$564,$565
8/30/2015,$565,$564
9/6/2015,$573,$565
9/13/2015,$580,$573
9/20/2015,$588,$580
9/27/2015,$590,$588
10/4/2015,$593,$590
10/11/2015,$578,$593
10/18/2015,$545,$578
10/25/2015,$526,$545
11/1/2015,$538,$526
11/8/2015,$562,$538
11/15/2015,$588,$562
11/22/2015,$595,$588
11/29/2015,$593,$595
12/6/2015,$595,$593
12/13/2015,$593,$595
12/20/2015,$589,$593
12/27/2015,$596,$589
1/10/2016,$573,$596
1/17/2016,$595,$573
1/24/2016,$593,$595
1/31/2016,$589,$593
2/7/2016,$589,$589
2/14/2016,$593,$589
2/21/2016,$602,$593
2/28/2016,$601,$602
3/6/2016,$600,$601
3/13/2016,$596,$600
3/20/2016,$591,$596
3/27/2016,$586,$591
4/3/2016,$579,$586
4/10/2016,$570,$579
4/17/2016,$558,$570
4/24/2016,$551,$558
5/1/2016,$545,$551
5/8/2016,$559,$545
5/15/2016,$568,$559
5/22/2016,$568,$568
5/29/2016,$567,$568
6/5/2016,$576,$567
6/12/2016,$589,$576
6/19/2016,$609,$589
6/26/2016,$630,$609
7/3/2016,$653,$630
7/10/2016,$659,$653
7/17/2016,$656,$659
